CustomerID,FirstName,LastName,Email,PhoneNumber,Address,City,State,Country,PostalCode
3e4839a2-5799-4586-b0b6-6c5a1a6d2ad2,Adam,Wilson,leedaniel@pena.org,424-217-4453x125,"463 Deborah Path
Lake Suzanneland, TN 37364",Cardenaston,Tennessee,Mali,13229
b22bf24f-3dd5-4f31-9296-5ef71a9db635,Stacy,Cross,howejamie@yahoo.com,(879)907-9723,"0601 Butler Mission
Pricemouth, UT 56325",South Madison,South Carolina,Anguilla,48383
c2e231d7-1f51-4b04-97e8-c086abf70aea,Frank,Stephenson,edwardschmidt@vance-marsh.info,204.772.3504x89101,"292 Duran Valley
South Spencerport, FL 95140",Port Glenn,South Dakota,Singapore,30253
fbe0f771-e3b6-4235-aa80-7000a954c33a,Adam,Fisher,scotthill@hotmail.com,319-318-6155x06568,"8836 Victoria Land Suite 257
Mackfort, ME 88103",Gibsonbury,Louisiana,Svalbard & Jan Mayen Islands,29923
a2524f99-6e34-4e4c-9caa-d5e9d7e034dc,Philip,Young,stacy53@white.net,001-480-090-1480x43936,"PSC 5895, Box 4442
APO AA 56039",Lake Patrick,West Virginia,Montserrat,72750
3e010c8a-0109-46ab-ab1d-4552f0b1b7a0,Martin,Jones,jmckee@gmail.com,(737)797-7947x1745,"PSC 2761, Box 8546
APO AA 18275",Hawkinsside,Illinois,Malaysia,41097
424d91a4-1014-4bf2-a7f7-fbd4a135dbbc,Amy,Caldwell,kramerkenneth@hotmail.com,244.185.5930,"47392 Anthony Inlet Apt. 923
Port Robintown, MT 98078",North Laura,Washington,Sudan,92818
576ee9b8-a2b0-454a-a88a-dcf9996d5ea6,Andrea,Becker,jason12@gmail.com,-6855,"46219 Brooks Branch
West Karen, ID 08706",Brittanyfort,Oregon,South Georgia and the South Sandwich Islands,78613
9f282b4e-1bfc-48a1-bd8e-865c86bc40aa,Kyle,Reynolds,angeladuarte@gmail.com,(436)887-4820x9979,"77466 Carl Underpass Suite 790
North Sean, ME 58074",New Carlos,Michigan,Cameroon,46612
488c3be2-0394-4fcc-9c44-17d120c19055,Janet,Griffin,fieldsmelissa@torres-hammond.org,+1-088-726-5009x5177,"565 Petersen Plains Suite 563
Christopherfort, AR 94575",Lake Matthewfort,Alaska,Iceland,71396
1ce97319-3a36-4e1a-882a-040034aa10b8,Beth,Thomas,maxwell55@johnson.biz,7163327328,"1240 Brittany Highway
West Alexiston, NJ 67541",Terryside,Wyoming,Mayotte,48086
a36057ac-5452-4a28-8387-bb244170718e,Christopher,Gordon,evansteresa@cortez.org,884-406-5784x99599,"22372 Ronald Fort
Lake Kevin, ME 17701",Gregoryview,Washington,Gibraltar,79888
2d763b85-3691-4ff3-bc6a-6c2e5550dc92,Lindsay,Miller,leslieestrada@hotmail.com,728.341.3573x19876,"55981 Sophia Via Suite 151
East Dianeside, ME 46309",North Katherinechester,Maine,Cocos (Keeling) Islands,73891
795cfe96-313f-4f97-aa6f-bc448f3b7a51,Noah,Martinez,lucas99@garcia.com,001-577-764-1539x707,"8989 Jason Road
North Shannon, NE 11054",Christopherberg,Maine,Iran,43533
e8742f8b-b308-4a98-bdce-d13c3d02ce7f,Donald,Adams,hamiltonmichele@gomez.net,181-172-4424,"7862 Garcia Tunnel
East David, MD 62659",East Angela,Delaware,Jordan,70464
90969fe2-25ef-4898-bb56-526beaf3e75a,Nicole,Farmer,david24@zimmerman.com,+1-934-121-9717x4324,"49169 Bradley Harbor
South Reneehaven, SD 04306",South Emily,Massachusetts,Lithuania,36867
5188e337-3156-4faf-9580-f7cd67165bec,Daniel,Collins,nmcdonald@curry.biz,769.219.1764,"614 Shelby Expressway
Cervantesside, UT 19543",Julieberg,Massachusetts,Australia,33148
37fb9d1a-b2bc-4e90-86cf-331fa33c45b8,Edward,Foster,leah75@anderson.com,(524)318-2417,"90402 Cheyenne Valley Suite 488
South Jennifer, RI 27770",East Georgetown,North Carolina,Angola,81647
b4861cee-3c62-4b06-9e18-69f3c32da750,Susan,Wallace,goodmanpatrick@hotmail.com,001-024-049-9881x96873,"8138 Joshua Burgs Apt. 804
New Stephenfort, LA 31823",Pricefort,Minnesota,Tuvalu,13708
05701429-e3a9-414a-8e4e-4069ce7de619,Stephanie,Davis,uwilliams@hotmail.com,001-842-297-6442,"749 Elizabeth Keys Suite 556
Port Johnmouth, HI 01961",North Alexander,California,Puerto Rico,58191
40a9e9f9-09c7-474c-9bf7-52a7460a969d,Sarah,Weaver,nsexton@hudson.com,(585)422-6551,"11708 Jack Street Apt. 822
Daltonhaven, FL 71509",North Emilystad,Nevada,Ghana,46846
0f92f9c3-e791-4d84-b847-30e2d5294662,Joseph,Perkins,mfrederick@brooks.biz,(557)650-7491x1513,"337 Michelle Court Apt. 418
East Erinshire, DC 71693",Littlestad,Michigan,Comoros,97309
